; floor tiles left
60,64,1,1,1,1,1,1,1,1,1

; floor tiles right
66,70,1,1,1,1,1,1,1,1,1

; vertical wall
71,73,1,1,1,1,1,1,1,1,1
131,133,1,1,1,1,1,1,1,1,1
191,193,1,1,1,1,1,1,1,1,1
251,253,1,1,1,1,1,1,1,1,1
311,313,1,1,1,1,1,1,1,1,1

; horizontal wall 
74,78,1,1,1,1,1,1,1,1,1
194,198,1,1,1,1,1,1,1,1,1
314,318,1,1,1,1,1,1,1,1,1

; floor tiles
180,190,1,1,1,1,1,1,1,1,1
300,310,1,1,1,1,1,1,1,1,1

; ceiling
360,370,1,1,1,1,1,1,1,1,1

; left wall
420,424,1,1,1,1,1,1,1,1,1

; right wall
426,430,1,1,1,1,1,1,1,1,1

; left ceiling
480,484,1,1,1,1,1,1,1,1,1

; right ceiling
486,490,1,1,1,1,1,1,1,1,1

; single blocks
81,1,1,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1,1,1
321,1,1,1,1,1,1,1,1,1

; various wall tiles
79,80,1,1,1,1,1,1,1,1,1
139,140,1,1,1,1,1,1,1,1,1
199,200,1,1,1,1,1,1,1,1,1
259,260,1,1,1,1,1,1,1,1,1
376,381,1,1,1,1,1,1,1,1,1
431,441,1,1,1,1,1,1,1,1,1
491,501,1,1,1,1,1,1,1,1,1
551,553,1,1,1,1,1,1,1,1,1
556,561,1,1,1,1,1,1,1,1,1

; bridges
83,88,1,1,1,0,0,0,0,0,0
203,208,1,1,1,0,0,0,0,0,0
323,328,1,1,1,0,0,0,0,0,0
443,448,1,1,1,0,0,0,0,0,0
563,568,1,1,1,0,0,0,0,0,0
103,105,1,1,1,0,0,0,0,0,0
223,225,1,1,1,0,0,0,0,0,0

; boxes
111,113,1,1,1,1,1,1,1,1,1
118,119,1,1,1,1,1,1,1,1,1
171,177,1,1,1,1,1,1,1,1,1
231,239,1,1,1,1,1,1,1,1,1
351,353,1,1,1,1,1,1,1,1,1
411,415,1,1,1,1,1,1,1,1,1
471,475,1,1,1,1,1,1,1,1,1
