blocks:
0,12,1,1,1,1,1,1,1,1,1
16,28,1,1,1,1,1,1,1,1,1
32,44,1,1,1,1,1,1,1,1,1
48,60,1,1,1,1,1,1,1,1,1

spikes:
64,3,3,3,3,0,0,3,0,0
65,3,3,3,0,0,3,0,0,3
66,0,0,0,0,0,0,3,3,3
67,3,0,0,3,0,0,3,0,0
80,3,0,0,3,0,0,3,3,3
81,0,0,3,0,0,3,3,3,3
82,3,3,3,0,0,0,0,0,0
83,0,0,3,0,0,3,0,0,3
96,0,0,0,0,0,0,3,0,0
97,0,0,0,0,0,0,0,0,3
98,0,0,0,0,0,0,0,0,3
99,0,0,0,0,0,0,3,0,0
112,3,0,0,0,0,0,0,0,0
113,0,0,3,0,0,0,0,0,0
114,0,0,3,0,0,0,0,0,0
115,3,0,0,0,0,0,0,0,0
160,0,1,0,0,1,0,0,1,0
161,0,1,0,0,1,0,0,1,0
176,0,1,0,0,1,0,0,1,0
177,0,1,0,0,1,0,0,1,0
192,0,1,0,0,1,0,0,1,0
193,0,1,0,0,1,0,0,1,0
       
bridge:
69,71,1,1,1,0,0,0,0,0,0
73,74,1,1,1,0,0,0,0,0,0
84,89,1,1,1,0,0,0,0,0,0
